ed,cuomo,molinaro,votes18,voters18,pct_dem_rvs18,pct_rep_rvs18
28066,349,157,557,1019.0,50.0,18.9
28067,346,167,555,1066.0,52.1,18.0
28068,358,184,567,1114.0,50.4,19.2
28069,386,188,611,1110.0,52.2,20.7
28070,186,118,316,725.0,49.4,22.8
28071,228,235,488,1026.0,39.9,30.5
28072,223,166,404,964.0,48.8,24.3
28073,206,163,387,1023.0,51.4,21.5
28074,184,170,375,852.0,46.9,22.9
28075,240,221,480,1038.0,47.6,26.9
28076,223,301,532,1056.0,36.0,34.9
28077,242,225,487,1089.0,42.9,28.7
28078,222,74,307,874.0,54.5,16.5
28080,102,79,192,391.0,51.2,21.0
28081,312,147,499,842.0,51.0,21.6
28082,188,185,385,799.0,44.1,29.5
28083,252,162,427,1070.0,50.9,21.8
28084,205,50,272,553.0,61.3,12.3
28085,28,28,62,346.0,57.5,17.9
28086,169,137,331,799.0,43.3,24.3
28087,337,100,460,826.0,59.4,13.4
28088,235,48,304,620.0,59.4,13.7
28089,149,83,244,614.0,52.1,15.6
29001,302,17,323,735.0,74.0,3.8
29002,442,23,479,970.0,73.9,5.2
29003,387,28,432,998.0,71.5,5.2
29004,187,13,205,652.0,71.2,5.2
29005,189,7,206,602.0,67.4,5.8
29006,414,28,461,849.0,74.3,7.1
29007,43,8,51,102.0,59.8,10.8
29008,225,28,262,597.0,72.5,9.0
29009,312,41,361,1068.0,65.6,8.1
29010,294,34,343,1042.0,65.2,8.8
29011,285,37,329,1007.0,63.7,9.5
29012,449,15,471,1153.0,80.4,3.9
29013,324,32,361,977.0,67.2,8.1
29014,361,5,378,955.0,79.0,3.1
29015,377,24,409,986.0,73.7,6.1
29016,315,34,359,1020.0,68.7,8.7
29017,364,20,397,1050.0,74.3,5.4
29018,319,8,334,943.0,75.2,3.6
29019,323,13,340,919.0,77.0,2.7
29020,334,6,348,891.0,81.0,3.1
29021,365,6,378,718.0,84.7,1.7
29022,409,6,425,888.0,83.6,2.1
29023,530,16,564,1045.0,83.1,3.5
29024,561,11,589,1004.0,86.1,2.6
29025,547,4,570,1024.0,85.4,3.2
29026,594,10,615,1080.0,85.2,2.3
29027,480,7,506,1053.0,83.8,2.7
29028,495,9,519,1125.0,85.3,2.2
29029,570,7,589,1121.0,83.9,2.2
29030,557,4,568,1046.0,85.8,2.5
29031,506,11,529,1046.0,86.3,1.7
29032,561,5,573,1105.0,86.2,1.7
29033,514,8,536,1118.0,85.7,1.8
29034,521,8,536,1089.0,87.4,2.5
29035,427,4,436,934.0,82.8,2.0
29036,270,13,296,864.0,67.5,7.2
29037,298,21,328,878.0,69.5,5.1
29038,310,28,346,937.0,72.5,7.9
29039,320,31,364,897.0,70.3,7.2
29040,296,5,309,671.0,84.2,1.8
29041,388,8,404,932.0,84.7,2.8
29042,431,11,449,862.0,83.8,2.2
29043,415,15,437,853.0,81.5,3.5
29044,532,11,550,1047.0,83.3,3.3
29045,488,20,514,953.0,82.5,3.9
29046,369,11,390,833.0,78.8,4.3
29047,375,10,390,840.0,81.7,4.4
29048,364,22,398,800.0,80.0,3.9
29049,437,20,465,990.0,78.8,3.8
29050,460,11,477,1053.0,83.7,2.5
29051,504,11,529,1001.0,86.5,1.5
29052,488,4,502,1022.0,85.5,2.3
29053,417,7,432,866.0,84.5,2.4
29054,456,8,476,1008.0,85.6,3.0
29055,530,16,558,1033.0,84.5,2.5
29056,442,10,455,990.0,81.2,2.1
29057,530,15,565,1001.0,84.0,3.5
29058,495,6,513,1056.0,84.8,2.0
29059,552,12,576,1053.0,84.0,2.4
29060,567,7,594,1076.0,85.9,2.3
29061,605,6,626,1077.0,85.7,1.8
29062,578,11,597,1044.0,84.6,2.9
29063,567,6,585,1048.0,84.9,2.4
29064,516,10,537,1011.0,84.7,2.4
29065,512,14,538,1038.0,87.4,2.3
29066,551,14,577,1039.0,83.5,2.6
29067,554,14,581,1070.0,81.8,3.6
29068,466,25,498,1031.0,79.9,5.0
29069,219,9,236,472.0,80.7,2.5
29070,340,6,351,870.0,78.4,2.9
29071,384,14,401,709.0,81.5,3.5
29072,314,27,351,1056.0,67.9,7.7
29073,245,21,278,660.0,75.9,4.8
29074,389,9,404,952.0,78.0,3.0
29075,435,10,454,1037.0,86.1,1.8
29076,387,40,431,1050.0,69.9,9.0
29077,392,12,413,802.0,80.3,3.5
29078,353,19,376,756.0,80.8,4.4
29079,513,16,541,1065.0,84.2,2.6
29080,390,7,409,753.0,85.7,1.9
30001,83,27,114,374.0,55.3,14.4
30002,293,76,383,984.0,59.5,15.5
30003,5,3,11,43.0,55.8,7.0
30004,237,190,463,1030.0,47.1,20.7
30005,225,281,530,1047.0,37.5,34.6
30006,262,259,550,1025.0,44.0,28.5
30007,267,228,529,1052.0,44.9,27.2
30008,256,257,548,1032.0,42.1,27.1
30009,192,252,461,1018.0,40.9,32.8
30010,240,198,463,1075.0,45.8,21.5
30011,209,219,450,1049.0,43.1,25.7
30012,195,204,411,1011.0,43.2,29.1
30013,273,165,458,1107.0,48.1,20.4
30014,217,203,438,1032.0,40.3,28.7
30015,193,242,443,1020.0,39.1,31.3
30016,204,143,364,1069.0,51.5,19.6
30017,225,169,412,1062.0,50.5,16.6
30018,268,171,456,1079.0,50.7,18.5
30019,4,7,11,37.0,35.1,21.6
30020,158,87,255,642.0,48.9,16.5
30021,240,133,393,1003.0,50.8,20.3
30022,221,109,350,779.0,52.4,16.9
30023,272,172,475,930.0,54.6,17.1
30024,268,163,446,982.0,52.9,20.6
30025,261,111,384,965.0,51.8,17.8
30026,238,148,409,991.0,52.7,19.8
30027,239,132,401,995.0,52.8,14.4
30028,1,1,3,7.0,28.6,14.3
30029,18,16,34,102.0,56.9,8.8
30030,241,101,363,1083.0,49.6,11.4
30031,178,52,243,669.0,56.7,10.2
30032,63,7,77,243.0,60.9,9.5
30033,80,27,116,313.0,54.0,16.3
30035,7,3,12,28.0,42.9,32.1
30036,190,64,269,630.0,58.3,10.6
30037,283,96,401,914.0,58.5,11.9
30038,435,45,509,962.0,64.6,8.1
30039,410,163,605,1038.0,59.8,16.2
30040,248,69,337,715.0,57.2,12.9
30041,135,31,178,404.0,66.6,9.4
30042,346,73,449,924.0,64.2,9.6
30043,287,63,377,905.0,60.7,9.0
30044,323,54,422,982.0,62.6,9.4
30045,320,64,421,999.0,64.6,9.9
30046,418,67,528,1062.0,62.8,9.4
30047,425,69,518,1068.0,65.9,9.2
30048,458,183,689,1075.0,59.7,17.2
